ad_id,brand_id
13,15
14,15
15,15
16,15
17,16
18,16
19,16
20,16
21,16
22,17
23,18
24,18
25,18
26,18
27,18
28,19
29,19
30,19
31,19
32,19
33,19
34,19
35,19
36,19
37,19
38,19
39,19
40,20
41,20
42,21
43,21
44,21
45,21
46,21
47,21
48,21
49,21
50,22
51,22
52,22
53,22
54,22
55,22
56,23
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,24
65,24
66,24
67,24
68,24
69,24
70,25
71,25
72,25
73,25
74,25
75,25
76,25
77,25
78,26
79,27
80,28
81,29
82,30
83,31
84,31
85,31
86,32
87,32
88,32
89,33
90,34
91,34
92,34
93,35
94,21
95,23
96,34
97,30
98,27
99,17
100,22
101,19
102,28
103,31
104,16
105,32
106,18